estimate_number,estimate_date,customer_name,salesperson,estimate_subtotal,estimate_status,estimate_zoho_id,salesorder_number,salesorder_date,salesorder_status,salesorder_subtotal,so_dead_cost_total,so_dead_profit,so_profit,so_salesperson,salesorder_zoho_id,package_count,package_numbers,package_carriers,package_tracking_numbers,package_statuses,package_total_shipping_charge,po_count,dropship_count,po_vendors,dropship_vendors,po_statuses,po_total_cost,invoice_number,invoice_date,invoice_due_date,invoice_status,invoice_subtotal,invoice_dead_cost_total,invoice_dead_profit,invoice_profit,invoice_vig_rate,invoice_margin_pct,invoice_commission,invoice_balance,invoice_cc_fees,invoice_actual_shipping_cost,is_written_off,written_off_date,paid_in_full_date,invoice_zoho_id,payment_count,total_payments_received,payment_modes,last_payment_date
,,TRENTON CONSTRUCTION,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6235,2022-06-13,2022-07-13,void,110.88,46.20,64.68,50.82,1.30,,25.41,110.88,,0.00,,,,1254360000012195978,0,0.00,,
,,DP CONCRETE & LANDSCAPING INC.,JUSTIN ZASTROW,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6234,2022-06-13,2022-07-13,paid,549.98,272.84,277.14,201.29,1.30,,100.64,0.00,0.00,43.21,,,,1254360000012195917,1,593.19,CHECK,2022-07-18
,,ESTRELLA CONCRETE CONTRACTING,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6233,2022-06-13,2022-07-13,paid,153.99,73.83,80.16,64.01,1.30,41.57,32.01,0.00,0.00,,,,30 Jul 2022,1254360000012195881,1,173.86,CHECK,2022-07-30
,,ED'S CONCRETE & STUCCO CO INC,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6232,2022-06-13,2022-07-13,paid,600.00,323.40,276.60,197.58,1.30,32.93,98.79,0.00,0.00,,,,25 Jul 2022,1254360000012195818,1,600.00,CHECK,2022-07-25
,,PROGRESSIVE LANDSCAPES,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6231,2022-06-13,2022-07-13,paid,446.95,172.25,274.70,202.91,1.30,49.90,101.46,0.00,20.11,,,,27 Jul 2022,1254360000012195720,1,542.53,AUTHORIZE.NET,2022-07-27
,,ROBERT JOHNSON CONSTRUCTION,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6230,2022-06-13,2022-07-27,paid,159.98,43.90,116.08,102.91,1.30,,51.45,0.00,0.00,32.38,,,,1254360000012195686,1,192.36,CHECK,2022-08-08
,,COUNTRY LANE HARDSCAPES,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6229,2022-06-13,2022-07-13,paid,99.99,43.90,56.09,42.92,1.30,42.92,21.46,0.00,0.00,,,,06 Aug 2022,1254360000012195652,1,123.34,CHECK,2022-08-06
,,ELITE CRETE LLC,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6228,2022-06-13,2022-07-13,paid,157.45,94.90,62.55,26.99,1.30,,13.50,0.00,7.09,19.58,,,,1254360000012195595,1,177.03,AUTHORIZE.NET,2022-06-23
,,MONKEY CONCRETE,JUSTIN ZASTROW,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6227,2022-06-13,2022-07-13,paid,299.97,151.70,148.27,95.26,1.30,36.26,47.63,0.00,13.50,,,,22 Jun 2022,1254360000012195525,1,343.18,AUTHORIZE.NET,2022-06-22
,,NORTH STAR INTERIORS,JUSTIN ZASTROW,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6226,2022-06-13,2022-07-13,paid,299.97,147.88,152.09,100.23,1.30,37.91,50.11,0.00,13.50,,,,10 Aug 2022,1254360000012195369,1,331.28,AUTHORIZE.NET,2022-08-10
,,GATOR CONSTRUCTION OF SWFL INC,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6225,2022-06-13,2022-07-13,void,300.00,162.50,137.50,94.75,1.30,,47.38,336.57,,36.57,,,,1254360000012195333,0,0.00,,
,,MARION PAVING & CONCRETE LLC,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6224,2022-06-13,2022-07-13,paid,2399.88,1170.00,1229.88,950.89,1.30,44.12,475.44,0.00,107.99,,,,03 Nov 2022,1254360000012195299,3,2400.00,AUTHORIZE.NET,2022-11-03
,,JOE SARACINA,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6223,2022-06-13,2022-07-13,paid,1440.00,790.36,649.64,412.53,1.30,28.65,206.27,0.00,0.00,,,,15 Jul 2022,1254360000012195192,1,1581.27,CHECK,2022-07-15
,,MISSOURI MULE MUD CO,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6222,2022-06-13,2022-07-13,paid,437.73,118.05,319.68,264.57,1.30,64.94,132.28,0.00,19.70,,,,22 Jul 2022,1254360000012195109,2,499.41,AUTHORIZE.NET,2022-07-22
,,ALL AMERICAN TREE PLUS,JUSTIN ZASTROW,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6221,2022-06-10,2022-07-10,paid,254.99,124.67,130.32,87.44,1.30,38.79,43.72,0.00,11.47,,,,11 Jul 2022,1254360000012176220,1,293.38,AUTHORIZE.NET,2022-07-11
,,TIDE CONSTRUCTION,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6220,2022-06-08,2022-07-08,paid,4999.50,2653.25,2081.56,1331.30,1.00,41.64,665.65,0.00,224.98,,,,08 Jun 2022,1254360000012144020,1,5293.87,AUTHORIZE.NET,2022-06-08
,,NORTHWEST HORIZON CONSTRUCTION INC.,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6219,2022-06-08,2022-07-08,paid,2159.92,1066.32,1093.60,676.51,1.30,,338.25,0.00,97.20,167.24,,,,1254360000012129891,1,2327.16,AUTHORIZE.NET,2022-06-08
,,WOODRUFF CONSTRUCTION,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6218,2022-06-06,2022-07-06,paid,1919.88,930.20,989.68,648.23,1.30,38.26,324.11,0.00,86.39,,,,11 Jul 2022,1254360000012092327,1,2028.25,AUTHORIZE.NET,2022-07-11
,,SOUTHERN CONTRACTING SERVICES,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6217,2022-06-06,2022-08-05,paid,2499.75,1693.50,672.34,197.71,1.00,26.90,98.86,0.00,112.49,,,,16 Aug 2022,1254360000012092280,1,2678.13,PayPal,2022-08-16
,,WILLIAMSON CONCRETE CONSTRUCTION,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6216,2022-06-06,2022-07-06,paid,3599.88,1847.52,1752.36,1252.11,1.30,39.28,626.05,0.00,161.99,,,,30 Jun 2022,1254360000012089997,1,3803.45,AUTHORIZE.NET,2022-06-30
,,WALKER STONE WORKS,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6215,2022-06-06,2022-07-06,paid,2399.88,1484.56,915.32,373.96,1.30,20.08,186.98,0.00,107.99,,,,06 Jun 2022,1254360000012089277,1,2690.13,AUTHORIZE.NET,2022-06-06
,,CEMENT CUTTING,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6214,2022-06-03,2022-07-03,paid,5159.88,2339.70,2820.18,2820.18,1.00,54.66,1410.09,0.00,0.00,,,,22 Aug 2022,1254360000012080367,1,5764.29,CHECK,2022-08-22
,,J & S FLATWORK,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6213,2022-06-03,2022-07-03,paid,119.99,50.00,69.99,49.59,1.30,45.83,24.80,0.00,5.40,,,,03 Jun 2022,1254360000012080160,1,135.56,AUTHORIZE.NET,2022-06-03
,,CONCRETE SOLUTIONS AND INNOVATIONS INC,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6212,2022-06-03,2022-07-03,paid,2999.70,1408.82,1590.88,1039.25,1.30,,519.62,0.00,134.99,149.75,,,,1254360000012062951,1,3149.45,AUTHORIZE.NET,2022-06-03
,,MUNOZ TILE,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6211,2022-06-03,2022-08-02,paid,2999.88,1947.76,1052.12,344.80,1.30,15.99,172.40,0.00,134.99,,,,19 Jul 2022,1254360000012062831,1,3148.25,AUTHORIZE.NET,2022-07-19
,,PERDUE CONCRETE INC.,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6210,2022-06-03,2022-07-03,paid,7159.44,3532.00,3627.44,2747.84,1.00,50.67,1373.92,0.00,0.00,,,,05 Jul 2022,1254360000012062757,1,7391.79,CHECK,2022-07-05
,,GETIT TRUCKING,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6209,2022-06-03,2022-07-03,paid,1199.76,577.60,622.16,406.89,1.30,38.41,203.45,0.00,53.99,,,,09 Jul 2022,1254360000012062690,1,1341.08,AUTHORIZE.NET,2022-07-09
,,COOKSVILLE CONCRETE FINISHING,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6207,2022-06-03,2022-07-03,paid,839.90,429.40,361.33,255.88,1.00,43.02,127.94,0.00,37.80,,,,30 Jun 2022,1254360000012062533,1,983.42,AUTHORIZE.NET,2022-06-30
,,O-CO CONCRETE CONSTRUCTION LLC,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6206,2022-06-03,2022-07-03,paid,2999.88,1287.50,1712.38,1377.14,1.30,,688.57,0.00,134.99,106.35,,,,1254360000012062495,1,3106.23,AUTHORIZE.NET,2022-07-09
,,MILE HIGH CONCRETE,JUSTIN ZASTROW,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6205,2022-06-03,2022-07-03,paid,3899.85,972.60,2927.25,2495.98,1.30,68.50,1247.99,0.00,175.49,,,,03 Jun 2022,1254360000012062174,1,4049.35,AUTHORIZE.NET,2022-06-03
,,EXPERCON,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6204,2022-06-03,2022-07-03,paid,4399.84,2083.17,2096.68,1724.31,1.00,47.65,862.15,0.00,197.99,,,,09 Jul 2022,1254360000012062084,1,4399.84,AUTHORIZE.NET,2022-07-09
,,CEMENT CUTTING,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6203,2022-06-03,2022-07-03,paid,2749.90,940.65,1809.25,1527.06,1.00,,763.53,0.00,0.00,102.24,,,,1254360000012070021,1,3065.26,CHECK,2022-08-22
,,NORTHWEST HORIZON CONSTRUCTION INC.,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6201,2022-06-01,2022-07-01,paid,3499.50,2389.36,1110.14,478.44,1.30,18.17,239.22,0.00,157.48,,,,06 Jun 2022,1254360000012037031,2,3702.39,AUTHORIZE.NET,2022-06-06
,,ARTISTIC GARDENS,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6200,2022-05-31,2022-06-30,paid,538.32,242.00,296.32,229.72,1.30,,114.86,0.00,0.00,37.22,,,,1254360000012034261,1,575.54,CHECK,2022-07-12
,,HOME SAFETY SOLUTIONS,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6199,2022-05-31,2022-06-30,paid,899.88,351.62,548.26,448.77,1.30,49.87,224.39,0.00,0.00,,,,13 Jun 2022,1254360000012034154,1,976.22,CHECK,2022-06-13
,,CONNECTICUT CUSTOM CONCRETE,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6198,2022-05-31,2022-06-30,paid,699.90,392.00,307.90,164.80,1.30,28.05,82.40,0.00,31.50,,,,20 Jul 2022,1254360000012034093,1,738.47,AUTHORIZE.NET,2022-07-20
,,ZAC CONSTRUCTION,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6197,2022-05-31,2022-06-30,void,119.99,66.08,53.91,34.09,1.30,,17.04,143.19,,23.20,,,,1254360000012034033,0,0.00,,
,,BUILDING CONCRETE PONCE INC.,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6196,2022-05-31,2022-06-30,paid,95.76,41.60,54.16,43.37,1.30,,21.69,0.00,4.31,16.35,,,,1254360000012032993,1,112.11,AUTHORIZE.NET,2022-06-29
,,SAN MOR CONSTRUCTION,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6195,2022-05-31,2022-06-30,paid,479.76,80.00,399.76,360.17,1.30,79.57,180.09,0.00,21.59,,,,29 Jun 2022,1254360000012032934,1,514.61,AUTHORIZE.NET,2022-06-29
,,BLANCO CONCRETE LLC,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6194,2022-05-31,2022-06-30,paid,519.92,248.00,271.92,174.12,1.30,37.99,87.06,0.00,23.40,,,,24 Jun 2022,1254360000012032879,1,586.35,AUTHORIZE.NET,2022-06-24
,,CENTRAL EXCAVATION & CONSTRUCTION,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6193,2022-05-31,2022-06-30,paid,299.98,132.00,167.98,120.88,1.30,44.80,60.44,0.00,13.50,,,,06 Jul 2022,1254360000012032820,1,328.33,AUTHORIZE.NET,2022-07-06
,,LYNN'S LANDSCAPING,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6192,2022-05-31,2022-06-30,paid,257.04,131.70,125.34,85.83,1.30,33.39,42.92,0.00,0.00,,,,25 Jul 2022,1254360000012032763,1,305.80,CHECK,2022-07-25
,,HEALTHY TURF,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6191,2022-05-31,2022-06-30,paid,599.94,303.40,264.38,190.52,1.00,44.07,95.26,0.00,27.00,,,,30 Jun 2022,1254360000012032700,1,643.18,AUTHORIZE.NET,2022-06-30
,,COLEMAN FLATWORK,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6190,2022-05-31,2022-06-30,paid,659.70,288.80,370.90,260.57,1.30,,130.29,0.00,29.69,44.32,,,,1254360000012032600,1,704.02,AUTHORIZE.NET,2022-07-11
,,SABINO CONCRETE,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6189,2022-05-31,2022-06-30,paid,509.96,180.58,329.38,258.26,1.30,55.14,129.13,0.00,22.95,,,,29 Jul 2022,1254360000012032521,1,562.74,AUTHORIZE.NET,2022-07-29
,,EM CONSTRUCTION,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6188,2022-05-31,2022-06-30,paid,1199.88,446.36,753.52,577.62,1.30,52.64,288.81,0.00,53.99,,,,05 Jul 2022,1254360000012032423,1,1346.71,AUTHORIZE.NET,2022-07-05
,,SMOOTH AS GLASS CONSTRUCTION,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6187,2022-05-31,2022-06-30,paid,119.96,71.00,41.80,34.26,1.00,,17.13,0.00,5.40,23.21,,,,1254360000012012618,1,143.17,AUTHORIZE.NET,2022-05-31
,,RIVER'S EDGE CONCRETE,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6186,2022-05-31,2022-06-30,paid,1709.81,751.05,868.28,668.50,1.00,,334.25,0.00,76.94,99.75,,,,1254360000012012330,1,1809.56,AUTHORIZE.NET,2022-05-31
,,CENTURY CONCRETE,JUSTIN ZASTROW,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6185,2022-05-31,2022-06-30,paid,249.96,98.10,151.86,129.18,1.30,,64.59,0.00,11.25,39.03,,,,1254360000012012208,1,188.99,AUTHORIZE.NET,2022-06-28
,,AMARK CONTRACTING,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6184,2022-05-31,2022-06-30,paid,549.75,342.75,174.93,124.14,1.00,,62.07,0.00,24.74,48.74,,,,1254360000012012105,1,641.37,AUTHORIZE.NET,2022-06-29
,,M & N MASONRY & CONSTRUCTION,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6183,2022-05-31,2022-07-30,paid,1589.52,944.18,560.34,397.96,1.00,,198.98,0.00,71.53,258.86,,,,1254360000012020384,1,1700.00,AUTHORIZE.NET,2022-07-20
,,RAWLINGS MECHANICAL CORP,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6182,2022-05-26,2022-06-25,paid,1799.93,523.13,1244.20,1044.86,1.00,69.12,522.43,0.00,81.00,,,,05 Jul 2022,1254360000011954130,1,651.97,AUTHORIZE.NET,2022-07-05
,,J & S CONCRETE,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6181,2022-05-26,2022-06-25,paid,2999.85,1860.00,985.37,626.86,1.00,32.85,313.43,0.00,134.99,,,,26 May 2022,1254360000011954001,1,3089.60,AUTHORIZE.NET,2022-05-26
,,SB CONCRETE INC,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6180,2022-05-24,2022-06-23,paid,2761.80,1914.58,847.22,431.43,1.30,20.12,215.71,0.00,124.28,,,,24 May 2022,1254360000011885637,1,2911.55,AUTHORIZE.NET,2022-05-24
,,JAIMES CONSTRUCTION LLC.,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6179,2022-05-24,2022-06-23,paid,2898.76,1572.40,1171.93,736.20,1.00,40.43,368.10,0.00,130.44,,,,24 May 2022,1254360000011885400,1,3088.51,AUTHORIZE.NET,2022-05-24
,,NORTH STATE MASONRY,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6178,2022-05-19,2022-06-18,paid,749.95,320.00,387.89,306.20,1.00,51.72,153.10,0.00,33.75,,,,19 May 2022,1254360000011859360,1,841.19,AUTHORIZE.NET,2022-05-19
,,REAL CONCRETE LLC,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6177,2022-05-19,2022-06-18,paid,2999.99,1542.75,1307.24,1051.42,1.00,43.57,525.71,0.00,135.00,,,,19 May 2022,1254360000011859126,1,2999.99,AUTHORIZE.NET,2022-05-19
,,NORTHWEST CONSTRUCTION OF ARKANSAS,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6176,2022-05-19,2022-06-18,paid,2499.75,1405.80,1093.95,745.72,1.30,34.33,372.86,0.00,112.49,,,,02 Jun 2022,1254360000011859001,1,2568.52,PayPal,2022-06-02
,,DC MASONRY INC,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6175,2022-05-16,2022-06-15,paid,469.26,216.10,253.16,200.33,1.30,42.69,100.17,0.00,0.00,,,,21 Jun 2022,1254360000011809530,1,492.00,CHECK,2022-06-21
,,J & S CONCRETE WORKS,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6174,2022-05-16,2022-06-15,paid,1019.88,395.00,624.88,466.49,1.30,,233.24,0.00,45.89,58.76,,,,1254360000011809423,1,1078.64,AUTHORIZE.NET,2022-07-03
,,ROCHESTER READY MIX,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6173,2022-05-16,2022-06-15,paid,895.93,498.49,397.44,253.89,1.30,28.34,126.95,0.00,0.00,,,,13 Jul 2022,1254360000011809335,1,954.55,CHECK,2022-07-13
,,ROCK SOLID CONSTRUCTION,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6172,2022-05-16,2022-06-15,paid,179.98,62.00,117.98,91.28,1.30,,45.64,0.00,8.10,18.35,,,,1254360000011809170,1,198.33,AUTHORIZE.NET,2022-05-16
,,J & S FLATWORK,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6171,2022-05-16,2022-06-15,paid,354.52,130.00,224.52,169.57,1.30,52.33,84.78,0.00,15.95,,,,31 May 2022,1254360000011809140,1,372.66,AUTHORIZE.NET,2022-05-31
,,ROGELIO RAMOS MASONRY,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6170,2022-05-16,2022-06-15,paid,809.92,387.11,422.81,312.68,1.30,,156.34,0.00,0.00,52.87,,,,1254360000011809104,1,862.79,CHECK,2022-06-21
,,BRICK LAYERS & ALLIED CRAFT WORKS,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6169,2022-05-16,2022-06-15,paid,119.76,41.60,78.16,71.68,1.30,,35.84,0.00,0.00,24.66,,,,1254360000011809072,1,144.42,CHECK,2022-06-06
,,EVERETTE D. OSLAND CONCRETE,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6168,2022-05-16,2022-06-15,paid,599.94,519.40,80.54,-90.28,1.30,-10.55,-45.14,0.00,27.00,,,,03 Jul 2022,1254360000011809038,1,648.61,AUTHORIZE.NET,2022-07-03
,,ACCENT MASONRY,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6167,2022-05-16,2022-06-15,paid,285.90,131.70,154.20,101.82,1.30,40.12,50.91,0.00,12.87,,,,15 Jul 2022,1254360000011809004,1,330.32,AUTHORIZE.NET,2022-07-15
,,DNR***CASTLE BRICK & STONE***DNR,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6166,2022-05-16,2022-06-29,paid,774.72,293.40,481.32,358.44,1.30,50.77,179.22,0.00,34.86,,,,03 Jul 2022,1254360000011794933,1,870.40,AUTHORIZE.NET,2022-07-03
,,MOJAVE MASONRY,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6165,2022-05-16,2022-06-15,paid,180.00,65.85,114.15,86.30,1.30,52.44,43.15,0.00,8.10,,,,16 Jun 2022,1254360000011794901,1,197.51,AUTHORIZE.NET,2022-06-16
,,LIPANI DESIGNS,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6164,2022-05-16,2022-06-15,paid,359.91,119.75,240.16,194.04,1.30,58.41,97.02,0.00,16.20,,,,15 Jun 2022,1254360000011794816,1,402.54,AUTHORIZE.NET,2022-06-15
,,ESTRADA LANDSCAPE,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6163,2022-06-24,2022-07-24,paid,191.52,43.20,148.32,135.36,1.30,70.68,67.68,0.00,0.00,,,,01 Aug 2022,1254360000011794796,1,230.56,CHECK,2022-08-01
,,NANCE MASONRY,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6162,2022-06-06,2022-07-06,paid,143.52,86.40,57.12,31.20,1.30,21.74,15.60,0.00,0.00,,,,18 Jul 2022,1254360000011794727,1,159.60,CHECK,2022-07-18
,,ALDEN-PARKS ENTERPRISE,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6161,2022-05-22,2022-06-21,paid,300.00,131.70,168.30,128.79,1.30,42.93,64.40,0.00,0.00,,,,21 Jun 2022,1254360000011794695,1,346.78,CHECK,2022-06-21
,,NEW CENTURY CONCRETE,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6160,2022-05-16,2022-06-15,paid,600.00,263.40,336.60,230.58,1.30,42.93,115.29,0.00,27.00,,,,05 Jul 2022,1254360000011794665,1,673.21,AUTHORIZE.NET,2022-07-05
,,EDMAR CORPORATION,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6159,2022-05-16,2022-06-15,paid,708.00,263.40,444.60,333.72,1.30,51.64,166.86,0.00,31.86,,,,29 Jun 2022,1254360000011794633,1,775.42,AUTHORIZE.NET,2022-06-29
,,MARK MORRIS INC.,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6158,2022-05-16,2022-06-15,paid,300.00,259.50,40.50,-25.35,1.00,13.50,-12.68,0.00,0.00,,,,22 Jun 2022,1254360000011794597,1,351.54,CHECK,2022-06-22
,,COHEN CONCRETE,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6157,2022-05-16,2022-06-15,paid,2050.00,1590.00,353.17,-97.25,1.00,17.23,-48.63,0.00,92.25,,,,09 Jul 2022,1254360000011794534,1,2136.52,AUTHORIZE.NET,2022-07-09
,,CHEHALIS RENTALS,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6156,2022-05-16,2022-06-15,paid,1387.54,777.39,610.15,388.93,1.00,,194.47,0.00,0.00,196.82,,,,1254360000011794384,1,1584.36,CHECK,2022-06-21
,,CIRNE CONSTRUCTION LLC,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6155,2022-05-16,2022-07-15,paid,2499.75,1778.07,578.83,444.57,1.00,23.16,222.28,0.00,112.49,,,,03 Jul 2022,1254360000011794313,1,2857.08,AUTHORIZE.NET,2022-07-03
,,BIG D CONCRETE,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6154,2022-05-16,2022-06-15,paid,900.00,496.00,356.24,226.70,1.00,39.58,113.35,0.00,40.50,,,,26 May 2022,1254360000011794205,1,955.20,PayPal,2022-05-26
,,PROFESSIONAL CONCRETE CONSTRUCTION,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6153,2022-05-13,2022-06-12,void,300.00,141.70,158.30,115.79,1.30,,57.90,328.38,,28.38,,,,1254360000011785043,0,0.00,,
,,KNIK CONSTRUCTION,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6152,2022-05-13,2022-06-12,paid,622.46,235.78,386.68,315.95,1.30,50.76,157.97,0.00,0.00,,,,23 Jun 2022,1254360000011781984,1,825.99,ACH TRANSFER,2022-06-23
,,KNIK CONSTRUCTION,ROSS HAISLER,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6151,2022-05-13,2022-06-12,paid,311.23,117.89,193.34,157.97,1.30,50.76,78.99,0.00,0.00,,,,21 Jun 2022,1254360000011781925,1,440.07,ACH TRANSFER,2022-06-21
,,PHAZE CONCRETE CONSTRUCTION,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6150,2022-05-13,2022-06-12,paid,599.98,264.00,335.98,229.78,1.30,42.80,114.89,0.00,27.00,,,,20 Jun 2022,1254360000011781878,1,639.77,AUTHORIZE.NET,2022-06-20
,,CREATION CONSTRUCTION INC,ROBERT REDMAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6149,2022-05-13,2022-06-12,void,209.97,93.00,116.97,89.07,1.30,,44.53,229.93,,19.96,,,,1254360000011781821,0,0.00,,
,,BARKER'S CONCRETE,MONTGOMERY MORGAN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6148,2022-05-13,2022-06-12,paid,1439.88,748.00,691.88,491.48,1.00,48.05,245.74,0.00,0.00,,,,18 Jun 2022,1254360000011781739,1,1528.64,CHECK,2022-06-18
,,LOPEZ LANDSCAPING,RICHARD GRIFFIN,,,,,,,,,,,,,0,,,,,,0,0,,,,0.00,6147,2022-05-13,2022-06-26,paid,425.70,155.84,269.86,209.95,1.30,53.82,104.98,0.00,19.16,,,,19 Sep 2022,1254360000011781637,1,462.08,AUTHORIZE.NET,2022-09-19
